locustag,title,description,function,product,essential,protID
BSU05850,gmuR,transcriptional repressor (GntR family) of the [[gene|00A4A90685CED4AD46829C45718CF26F1D62F5D3]]-[[gene|44014896157718D3A6190DFDBD663C5CB9DA63FC]]-[[gene|76324E0A6CAA8E1DD0B0C6FAE1CAB402231BF7CC]]-[[gene|D8C81A8768E9C6B47B5E196B54DC2A3A8256E7E6]]-[[gene|64CA75A26A08C534EC7ADFC4A6256F07F3D4BFB7]]-[[gene|EB6DE119E6FB18413DB2C2B62B114FB787164F74]]-[[gene|35225776F6044513D3E77DBBD6A7A8FE976F506A]]-[[gene|289ACC9D13BBFAA5C083EE525ECCC32DB06E075F]] operon,regulation of glucomannan utilization,transcriptional repressor (GntR family),no,O05509
new17270251727132,S590,new RNA feature  intergenic region,,intergenic region,,
new13826281383305,S468,new RNA feature  3'UTR of ykzN,,3'UTR of ykzN,,
BSU38380,ywbB,unknown,unknown,unknown,no,P39585
new38933123893440,S1463,new RNA feature  5'UTR of gerQ,,5'UTR of gerQ,,
BSU08050,yfjL,similar to ribosomal protein L6,unknown,unknown,no,P40773
BSU23050,ribU,riboflavin [wiki|ECF transporter]  S protein,riboflavin uptake,S protein of riboflavin [wiki|ECF transporter],no,P50726
BSU00110,pdxS,pyridoxal-5-phosphate synthase (synthase domain),pyridoxal-5-phosphate biosynthesis,pyridoxal-5-phosphate synthase (synthase domain),no,P37527
BSU29920,ccrZ,activator of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]]-dependent initiation of [[category|SW.3.1.1]],control of [[category|SW.3.1.1]],activator of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]]-dependent initiation of [[category|SW.3.1.1]],no,C0SPC1
new604577605269,S197,new RNA feature  3'UTR of ydgE,,3'UTR of ydgE,,
BSU39010,tlrB,23S rRNA (guanine-N(1)-)-methyltransferase  confers resistance against the macrolide antibiotic tylosin (produced by <i>Streptomyces fradiae</i>),resistance against tylosin,23S rRNA (guanine-N(1)-)-methyltransferase,no,P42313
BSU32910,yusS,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,no,O32185
BSU20660,yoqE,unknown,unknown,unknown,no,O34429
new29500252950153c,S1087,new RNA feature  5'UTR of abnA,,5'UTR of abnA,,
BSU12600,xkdF,PBSX prophage,unknown,unknown,no,P54326
BSU23640,yqkD,similar to esterase,unknown,unknown,no,P54567
BSU04030,ycsD,ß-hydroxyacyl-(acyl carrier protein) dehydratase,fatty acid biosynthesis,ß-hydroxyacyl-ACP dehydratase,no,P42961
BSU06812,yeeF,polymorphic LXG toxin  non-specific metal-dependent DNase,competetion with other bacteria in biofilms,LXG toxin  non-specific metal-dependent DNase,no,O31506
BSUmiscRNA31,BSU_misc_RNA_31,null,null,,,
BSU07050,yesW,rhamnogalacturonan lyase  generates oligosaccharides,utilization of rhamnogalacturonan,rhamnogalacturonan lyase  generates oligosaccharides,no,O31526
BSU18700,yoaQ,unknown,unknown,unknown,no,O31831
BSU01250,rpsQ,ribosomal protein uS17,translation,ribosomal protein S17 (uS17),yes,P12874
new22086482208779c,S785,new RNA feature  3'UTR of yopL,,3'UTR of yopL,,
BSUtRNA14,trnJ-Lys,null,translation,transfer RNA-Lys,no,
BSU06890,cotJA,polypeptide composition of the spore coat,polypeptide composition of the spore coat,unknown,no,Q45536
BSU29230,dnaE,lagging strand DNA polymerase III (alpha subunit)  part of the [wiki|replisome],[[category|SW.3.1.1]](lagging strand),lagging strand DNA polymerase III (alpha subunit),yes,O34623
BSU25310,dgkA,undecaprenol kinase,cell wall biosynthesis,undecaprenol kinase,no,P19638
new698472698611,S231,new RNA feature  intergenic region,,intergenic region,,
new40748114074895c,S1524,new RNA feature  intergenic region,,intergenic region,,
BSU14020,kre,[[protein|08CFA2C72931A75532D4289BC1D18A826DE9F9CA]] repressor  stimulates degradation of the [[gene|comK ]]mRNA,control of [[protein|ComK ]]accumulation and of bistable competence gene expression,[[protein|ComK ]]repressor,no,P42430
new10002821000363,S320,new RNA feature  5'UTR of yhxA,,5'UTR of yhxA,,
BSU05530,ydfR,unknown,unknown,unknown,no,P96696
BSU19600,yodH,similar to methyltransferase,unknown,unknown,no,O34954
BSU29640,ytsP,unknown,unknown,unknown,no,O34553
BSU15010,ylbH,predicted methyltransferase  16S rRNA (G966) methyltransferase,unknown,unknown,no,O34331
BSU38590,licB,lichenan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system]  EIIB of the [[category|SW.1.2.2|PTS]]  [[category|SW.3.4.3]]  control of [[protein|E087ABA705CE94E2CAD44A0F2FB265B0F7B04399]] activity,lichenan uptake and phosphorylation  control of LicR activity,lichenan-specific [[category|SW.1.2.2|PTS]]  EIIB component,no,P46318
BSU38250,ywbO,similar to disulfide oxidoreductase,unknown,unknown,no,P39598
BSU38940,yxjI,unknown,unknown,unknown,no,P94352
BSU34265,epsK,export of extracellular poly-N-acetylglucosamine,export of extracellular poly-N-acetylglucosamine,poly-N-acetylglucosamine exporter,no,P71060
new302355302434,S102,new RNA feature  5'UTR of ycdC,,5'UTR of ycdC,,
BSU40239,yyzF,unknown,unknown,unknown,-,C0H3T9
BSU29720,motS,Na+-coupled [[protein|3D42584D65D80A1C73F057714647E29FF6BBD58A]]-[[protein|MotS ]]flagellar stator,[wiki|motility and chemotaxis],motility protein (flagellar motor rotation),no,P39064
BSU28490,uvrC,excinuclease ABC (subunit C)  required for transcription-dependent asymmetry in mutation rates of genes in the two orientations,DNA repair after UV damage,excinuclease ABC (subunit C),no,P14951
new37336493733734c,S1395,new RNA feature  5'UTR of ywzD,,5'UTR of ywzD,,
BSU17530,ynaE,unknown,unknown,unknown,no,P94483
BSU40520,yybS,unknown,unknown,unknown,no,P37485
BSU10050,ecsB,[wiki|ABC transporter] ( membrane protein)  mutation affects proteolysis by [[protein|CB50289535EA537F63BADD459BD11AA7759A6658]] (no processing of [[protein|D6C2B8ABBBD1F9F2D36C34098D5B811A15C60D3B]] resulting in absence if [[protein|3DEAC421B4B173C6BBC700E57790751B7AFDF319]] activity),regulation of the secretion apparatus and of intra-membrane proteolysis,[wiki|ABC transporter] ( membrane protein),no,P55340
new11307591130917c,S376,new RNA feature  3'UTR of yhjN,,3'UTR of yhjN,,
new38429963845478,S1450,new RNA feature  3'UTR of albG,,3'UTR of albG,,
new30143453014422c,S1118,new RNA feature  5'UTR of argG,,5'UTR of argG,,
BSU29680,acsA,acetyl-CoA synthetase,utilization of acetate  fatty acids,acetyl-CoA synthetase),no,P39062
BSUmiscRNA51,BSU_misc_RNA_51,null,null,,,
BSU09440,citA,minor citrate synthase,unknown,minor citrate synthase,no,P39119
new28294492829527c,S1047,new RNA feature  5'UTR of comN,,5'UTR of comN,,
BSU28110,spoVID,developmental checkpoint  co-ordinates spore cortex and coat assembly  spore coat morphogenetic protein  non-competitive hub during spore encasement  promotes encasement of the spore,spore coat assembly,spore coat morphogenetic protein,no,P37963
BSU30570,ytmB,unknown,unknown,unknown,no,O34365
BSU21380,yomF,unknown,unknown,unknown,no,O31979
BSU41020,thdF,GTP-binding protein  putative tRNA modification GTPase,tRNA modification,putative tRNA modification GTPase,no,P25811
BSU17210,pksN,polyketide synthase of type I,polyketide synthesis,polyketide synthase of type I,no,O31782
BSU07620,yflN,similar to metallo-beta-lactamase,unknown,unknown,no,O34409
new220033220103,S78,new RNA feature  3'UTR of skfH,,3'UTR of skfH,,
new33027643302893c,S1240,new RNA feature  5'UTR of yuzG,,5'UTR of yuzG,,
BSU40740,satA,streptothricine acetyl-transferase,resistance to streptothricine,streptothricine acetyl-transferase,no,P37506
BSU05730,ydhF,unknown,unknown,unknown,no,O05497
new27365372736639c,S1005,new RNA feature  5'UTR of aadK,,5'UTR of aadK,,
new30379163038059c,S1138,new RNA feature  3'UTR of ytzK,,3'UTR of ytzK,,
BSU17870,yneB,similar to resolvase,unknown,unknown,no,Q45057
BSU04180,ydaC,similar to N-methyltransferase,unknown,unknown,no,P96576
BSU20360,yorJ,unknown,unknown,unknown,no,O31904
BSU15280,ftsA,cell division protein  membrane anchor for [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]],formation of Z-ring,[wiki|cell division] protein  member of the [wiki|divisome],no,P28264
BSU35200,yvkB,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown,no,O34643
new32324833234571c,S1206,new RNA feature  5' of S1206,,5' of S1206,,
BSU10860,bstC,bacillithiol S-transferase  similar to nuclease inhibitor,unknown,bacillithiol S-transferase,no,O07939
BSU00010,dnaA,AAA ATPase  [[category|SW.3.1.1|replication]] initiation protein,[[category|SW.3.1.1]],replication initiation protein,yes,P05648
new15878151587925,S558,new RNA feature  intergenic region,,intergenic region,,
new12357091235911c,S418,new RNA feature  intergenic region,,intergenic region,,
BSU08830,ssuB,aliphatic sulfonate [wiki|ABC transporter] (binding protein),sulfonate uptake,aliphatic sulfonate [wiki|ABC transporter] (binding protein),no,P97027
BSU33900,eno,enolase  glycolytic/ gluconeogenic enzyme  universally conserved protein,enzyme in glycolysis/ gluconeogenesis,enolase,Yes,P37869
BSU34140,ganQ,galactotriose [wiki|ABC transporter] (permease),uptake of galactotriose,galactotriose [wiki|ABC transporter] (permease),no,O07011
new33724733372739c,S1264,new RNA feature  intergenic region,,intergenic region,,
BSU12519,yjzJ,unknown PBSX prophage protein,unknown,unknown,-,C0H3Z4
new19002631900568c,S639,new RNA feature  3' of S641,,3' of S641,,
BSU35710,tagG,[wiki|ABC transporter] for teichoic acid translocation (permease),[[category|SW.2.6.1.3]],[wiki|ABC transporter] for teichoic acid translocation (permease),yes,P42953
BSU38070,sacT,transcriptional antiterminator for the [[gene|AE02C38397AA790E4B216BB6DBABFE907B984D05]]-[[gene|8C2DD87E0351BBEE0FD8C0462087CCAD7459AA88]]-[[gene|803ED978141A0E09F1F9CAECAB4BA839D480241F]] operon,regulation of sucrose utilization,transcriptional antiterminator,no,P26212
BSU19310,dhaS,3-hydroxypropionaldehyde-specific aldehyde dehydrogenase (NAD),unknown,aldehyde dehydrogenase (NAD),no,O34660
BSU26570,yrkB,unknown,unknown,unknown,no,P54429
BSU09710,bmrC,multidrug [wiki|ABC transporter] (ATP-binding protein)  also involved in the signalling pathway to activate [[protein|KinA ]]at the onset of [wiki|sporulation],multiple antibiotic resistance,multidrug [wiki|ABC transporter ](ATP-binding protein),no,O07550
new34664123467550,S1297,new RNA feature  3'UTR of sdpC,,3'UTR of sdpC,,
new12558671256041c,S426,new RNA feature  5'UTR of yjcD,,5'UTR of yjcD,,
BSUmiscRNA45,BSU_misc_RNA_45,null,null,,,
BSU16000,khpA,putative RNA chaperone,unknown,putative RNA chaperone,no,O31738
new39113043911465c,S1468,new RNA feature  intergenic region,,intergenic region,,
BSU17500,ynaB,unknown,unknown,unknown,no,P94480
BSUmiscRNA64,bsrC,small RNA,unknown,,no,
new23915172391641c,S864,new RNA feature  5'UTR of engA,,5'UTR of engA,,
BSU12660,xkdM,PBSX prophage  similar to R-Type bacteriocin tube protein,unknown,unknown,no,P54332
new23461322346223c,S846,new RNA feature  intergenic region,,intergenic region,,
BSU11260,yjzC,unknown,unknown,unknown,no,O34585
BSU32470,pucE,xanthine dehydrogenase,purine utilization,xanthine dehydrogenase,no,O32143
BSU37220,ywjB,unknown,unknown,unknown,no,P45862
BSU33590,yvaG,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,no,O32229
BSU23960,artR,high affinity arginine [wiki|ABC transporter ](ATP-binding protein),arginine uptake,high affinity arginine [wiki|ABC transporter ](ATP-binding protein),no,P54537
new784299784380,S248,new RNA feature  intergenic region,,intergenic region,,
new27784202778505c,S1023,new RNA feature  5'UTR of yrhH,,5'UTR of yrhH,,
BSU31530,malR,two-component response regulator  regulation of malate uptake,regulation of malate uptake,two-component response regulator,no,O05251
BSU20470,yoqY,unknown,unknown,unknown,no,O31914
new32465293246678,S1211,new RNA feature  5'UTR of mrpA,,5'UTR of mrpA,,
BSU34580,yvdJ,unknown,unknown,unknown,no,O06992
BSU30230,bioA,lysine-8-amino-7-oxononanoate aminotransferase,biosynthesis of biotin,lysine-8-amino-7-oxononanoate aminotransferase,no,P53555
new646411646581,S206,new RNA feature  5'UTR of ydiG,,5'UTR of ydiG,,
BSU16380,flhB,part of the flagellar type III export apparatus (flagellar Type III secretion system)  part of the CORE complex required for flagellum and nanotube assembly,flagellum and nanotube assembly,part of the type III CORE export apparatus,no,P35538
BSU05570,ydgB,unknown,unknown,unknown,no,P96700
BSU32990,mrgA,iron storage protein  DNA-binding stress protein  forms highly stable  multimeric protein-DNA complexes which protect against oxidative killing,iron storage ,mini-ferritin  DNA-binding stress protein,no,P37960
BSU17460,glnA,glutamine synthetase  trigger enzyme,glutamine biosynthesis  control of [[protein|857EF1AC54DEA0690C01B7F8CEFFD16312C58F20]] and [[protein|641C4BDD9702804642E1753A9C779E80FABB3919]] activity,glutamine synthetase  trigger enzyme,no,P12425
BSU21330,yomK,unknown,unknown,unknown,no,O31974
BSU35840,tagT,phosphotransferase  attaches teichoic acid  teichuronic acid  or acidic capsular polysaccharide to cell wall peptidoglycan via phosphodiester linkage to N-acteylmuramic acid,transfer of anionic cell wall polymers from lipid-linked precursors to peptidoglycan,phosphotransferase  responsible for attachment of anionic polymers to peptidoglycan,no,Q7WY78
new965798965868,S310,new RNA feature  intergenic region,,intergenic region,,
BSU30035,ytzG,similar to 16S pseudouridylate synthase,16S rRNA modification,putative 16S pseudouridylate synthase,no,O32068
BSU30880,ytcC,sporulation protein  similar to lipopolysaccharide N-acetylglucosaminyltransferase,lipopolysaccharide biosynthesis,sporulation protein,no,O34413
BSU19440,yojI,similar to multidrug efflux transporters,unknown,putative multidrug exporter,no,O31855
BSU31200,rhaB,rhamnulokinase,utilization of rhamnose,rhamnulokinase,no,O05262
BSUtRNA66,trnB-Phe,null,translation,transfer RNA-Phe,no,
new38083933808511c,S1438,new RNA feature  intergenic region,,intergenic region,,
BSU18750,yoaT,unknown,unknown,unknown,no,O34535
new40056264005729,S1503,new RNA feature  intergenic region,,intergenic region,,
BSU33520,csoR,transcription repressor of [[gene|18506FB74F6BB9278F22EB7DCDA3CF72575CC32A]]-[[gene|727024F7B1AC19676ED4B516CF46A47B1328310B]],control of copper homeostasis,transcription repressor,no,O32222
BSU25550,rpsT,ribosomal protein bS20,translation,ribosomal protein S20 (bS20),no,P21477
new21576832157828c,S765,new RNA feature  intergenic region,,intergenic region,,
BSU37780,rocA,3-hydroxy-1-pyrroline-5-carboxylate dehydrogenase,arginine  ornithine and citrulline utilization,3-hydroxy-1-pyrroline-5-carboxylate dehydrogenase,no,P39634
BSU11640,cpaA,K<sup>+</sup>/H<sup>+</sup> antiporter,export of potassium ions,K<sup>+</sup>/H<sup>+</sup> antiporter,no,O31615
new117257117348,S47,new RNA feature  intergenic region,,intergenic region,,
BSU23630,yqkE,unknown,unknown,unknown,no,P54568
BSU20690,yoqB,unknown,unknown,unknown,no,O34831
BSU29910,ytzH,unknown,unknown,unknown,no,O32066
BSU12370,exuR,repression of the hexuronate utilization operon ([[gene|5A0C29C7E218701727523885D01A48D02266B421]]-[[gene|59CD3E4C24326542D9C85BB6FE64FBF49869EB55]]-[[gene|3AEA5D769B89E676C916FD8934D762B4C9A02AA2]]-[[gene|CC55984E31C5698668CCCD4AC6E2210B2B41ACAB]]-[[gene|A0A6D36BEC397345A1D17E6A7C34E1F612FD46C7]]-[[gene|B886E504A767343042DE9BF4E23E6798D124A2CF]]-[[gene|6D08E897DD697523FD0720704A25AD4472075B6C]]-[[gene|69B143987DCF73B5D080E3FD87A6CA2940E07DA8]]-[[gene|A1C64447E0074B06C9210CC51680273FAAE703FA]]-[[gene|ED29D2DE48AADEA09C90F08B6021555C357946B4]]),regulation of hexuronate utilization,transcriptional repressor ([wiki|LacI family]),no,Q9JMQ1
BSU18180,yngB,UTP-glucose-1-phosphate uridylyltransferase  important for wall teichoic acid modification and glycolipid formation during anaerobic growth,wall teichoic acid modification and glycolipid formation under anaerobic conditions,UTP-glucose-1-phosphate uridylyltransferase,no,O31822
BSU27560,hisS,histidyl-tRNA synthetase,translation,histidyl-tRNA synthetase,yes,O32039
BSU18280,yngK,unknown,unknown,unknown,no,O35015
BSU17420,spoVK,required for spore maturation,spore maturation,unknown,no,P27643
BSU08810,senS,transcriptional regulator of extracellular enzyme genes,regulation of extracellular enzyme genes,transcriptional regulator,no,P21344
new29966802996979,S1112,new RNA feature  5'UTR of ytpI,,5'UTR of ytpI,,
BSU04270,ydaJ,lipoprotein  may modify the extracellular polysaccharide synthesized by [[protein|28D80C5497AE29A24AD6B9A1A713A2B3915F2CED]]-[[protein|961538BEDD27C24FC073AFB7AB3268E3D46783CC]]-[[protein|ADE0122D8FFF2F78B6D21031B7D02A323A13ED63]],unknown,lipoprotein,no,O31486
BSU14080,ykuH,unknown,unknown,unknown,no,O31696
BSU40110,bglA,6-phospho-beta-glucosidase,beta-glucoside utilization,6-phospho-beta-glucosidase),no,P42973
BSU30460,ytrA,transcriptional repressor  [wiki|GntR family]  control of cell envelope stress responses in response to ramoplanin,control of cell envelope stress responses,transcriptional repressor ([wiki|GntR family]),no,O34712
BSU28020,mreC,MreC is a [wiki|cell shape] determining protein  it couples the cytosolic [[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]] and [[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]]-like proteins to the extracellular peptidoglycan-synthesizing machinery  part of the [[protein|Rod complex]] for lateral [wiki|cell wall synthesis] and control of cell diameter,[wiki|cell shape] determation,[wiki|cell shape]-determining protein,yes,Q01466
BSU32900,yusR,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,no,O32184
new22643532265142c,S807,new RNA feature  3'UTR of bdbB,,3'UTR of bdbB,,
BSU06660,opuE,proline transporter,compatible solute transport,proline transporter,no,O06493
BSU35620,lytC,N-acetylmuramoyl-L-alanine amidase  required for flagellar function,major autolysin  cell separation  wall turnover,N-acetylmuramoyl-L-alanine amidase,no,Q02114
new258887259015,S92,new RNA feature  5'UTR of ybgE,,5'UTR of ybgE,,
BSUmiscRNA78,fswB,,,,,
BSU13250,ykoG,two-component response regulator ([wiki|OmpR family]),unknown,two-component response regulator ([wiki|OmpR family]),no,O34903
BSU24770,mgsR,transcriptional regulator of a subset of the [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] general stress regulon  required for protection against oxidative stress,controls a subset of general stress genes,transcriptional regulator,no,P54503
BSU16930,cinA,plays a nucleoid-associated general role in cells entering stationary phase,unknown,unknown,no,P46323
BSU10880,yisV,similar to transcriptional regulator ([wiki|MocR/ GabR family]),unknown,unknown,no,Q796Q6
new39182623918330c,S1471,new RNA feature  5'UTR of qoxA,,5'UTR of qoxA,,
BSU39980,qdoI,Fe-containing quercetin 2 3-dioxygenase,resistance to plant product quercetin,Fe-containing quercetin 2 3-dioxygenase,no,P42106
BSU35380,fliW,checkpoint protein for [[gene|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB]] expression  [[protein|93F328524989597C7D2329B25E665496C9631E87]] antagonist,control of [[protein|93F328524989597C7D2329B25E665496C9631E87]] activity,flagellar assembly factor  [[protein|93F328524989597C7D2329B25E665496C9631E87]] antagonist,no,P96503
BSU08750,ygxA,unknown,unknown,unknown,no,Q04385
BSUtRNA78,trnSL-Val1,null,translation,transfer RNA-Val,no,
BSU14860,pycA,pyruvate carboxylase,replenishment of the oxaloacetate pool,pyruvate carboxylase,no,Q9KWU4
BSUmiscRNA67,roxS,small RNA  controls expression of [[gene|B729EFC0BF0D75765C2D2B0B4F397E0AEE11F1E7]]  [[gene|D72175937B3956C2BC500FC00CEC8EC57A0A76A8]]-[[gene|5900CAC1CE367F33B267673A7FC210A3A269B30E]]  and [[gene|73356B73D6C89D6569CECCC7295AF85CC7A1E6E3]],control of [[gene|B729EFC0BF0D75765C2D2B0B4F397E0AEE11F1E7]]  [[gene|D72175937B3956C2BC500FC00CEC8EC57A0A76A8]]-[[gene|5900CAC1CE367F33B267673A7FC210A3A269B30E]]  and [[gene|73356B73D6C89D6569CECCC7295AF85CC7A1E6E3]] expression,trans-acting regulatory RNA,no,
BSU26558,yrzM,unknown  putative pseudogene,unknown,unknown,-,
BSU25430,yqeV,tRNA methylthiotransferase,tRNA maturation,tRNA methylthiotransferase,no,P54462
BSU15670,remA,transcriptional regulator of the extracellular matrix genes  acts in parallel to [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]]  [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]]  and [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]],control of biofilm formation,regulator of the extracellular matrix genes,no,Q7WY72
new32979623298076,S1233,new RNA feature  5'UTR of yuiD,,5'UTR of yuiD,,
new40894184089968,S1530,new RNA feature  3'UTR of csbC,,3'UTR of csbC,,
BSU36270,ywqB,unknown,unknown,unknown,no,P96714
BSU23170,spmB,spore maturation protein (spore core dehydratation),germination,spore maturation protein (spore core dehydratation),no,P35158
BSU05310,ydeR,similar to antibiotic resistance protein,unknown,unknown,no,P96675
new14570051457156,S505,new RNA feature  intergenic region,,intergenic region,,
BSU21450,sunS,phage-derived sublancin S-glycosyltransferase,biosynthesis of the antimicrobial peptide sublancin,sublancin S-glycosyltransferase,no,O31986
BSU19170,yocD,similar to immunity to bacteriotoxins,unknown,unknown,no,O35046
BSU40640,yybH,unknown,unknown,unknown,no,P37496
BSU16430,cheA,two-component sensor kinase  chemotactic signal modulator,chemotactic signal modulator,two-component sensor kinase,no,P29072
new14306251430683,S490,new RNA feature  5'UTR of spo0E,,5'UTR of spo0E,,
BSUtRNA26,trnI-Arg,null,translation,transfer RNA-Arg,no,
BSU02860,znuC,high-affinity [wiki|ABC transporter] for zinc (ATP-binding protein),zinc uptake,[wiki|ABC transporter] for zinc (ATP-binding protein),no,O34946
BSU35870,capE,stimulates poly-gamma-glutamate production in the presence of zinc  also involved in extra-chromosomal DNA maintenance,capsule synthesis,unknown,no,P96739
BSU13380,ykoS,unknown,unknown,unknown,no,O34830
new24087732409563,S872,new RNA feature  5'UTR of fer,,5'UTR of fer,,
BSU20110,yosI,unknown,unknown,unknown,no,O31880
BSU26110,yqbH,similar to phage-related protein,unknown,unknown,no,P45924
BSU06260,ydjN,unknown,unknown,unknown,no,O34353
BSU34530,cotR,outer spore coat protein  lipolytic enzyme,hydrolysis of lysophospholipids,outer spore coat lipolytic enzyme,no,O06996
BSU18500,yoxD,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,no,P14802
BSU05343,ydzS/1,part of the ydzS pseudogene,unknown,unknown,-,
BSU22040,bpsB,methyltransferase  involved in polyketide synthesis,polyketide synthesis,methyltransferase,no,P54158
BSU14710,ylaA,unknown,unknown,unknown,no,O07625
BSU39090,yxiP,unknown,unknown,unknown,no,P42307
BSU03180,cah,cephalosporin C deacetylase,resistance to cephalosporin C,cephalosporin C deacetylase),no,P94388
new29667942966948c,S1093,new RNA feature  5'UTR of speD,,5'UTR of speD,,
new38567323856994c,S1455,new RNA feature  independent transcript,,independent transcript,,
BSU17130,acpK,acyl carrier protein,polyketide biosynthesis,acyl carrier protein,no,Q7PC63
BSUmiscRNA4,ldlM,,,,,
new13994091400187,S477,new RNA feature  5'UTR of ykoP,,5'UTR of ykoP,,
new15592181559308,S543,new RNA feature  5'UTR of ctaB,,5'UTR of ctaB,,
BSU25340,phoH,phosphate starvation-induced protein,unkown,unknown,no,P46343
BSU17980,sspP,probable small acid-soluble spore protein (minor),protection of spore DNA,probable small acid-soluble spore protein (minor),no,P71032
new7894079025,S39,new RNA feature  intergenic region,,intergenic region,,
new33799403380077c,S1267,new RNA feature  5'UTR of yusV,,5'UTR of yusV,,
new20904552090524,S730,new RNA feature  intergenic region,,intergenic region,,
new23066832307712c,S827,new RNA feature  independent transcript,,independent transcript,,
BSU18960,yozM,unknown,unknown,unknown,no,O31843
new10138611013971,S326,new RNA feature  independent transcript,,independent transcript,,
new42146674214752c,S1580,new RNA feature  intergenic region,,intergenic region,,
BSU12240,yjkA,similar to amino acid ABC transporter (membrane protein),unknown,ABC transporter (membrane protein),no,O34684
BSU40710,yybA,similar to transcriptional regulator ([wiki|MarR family]),unknown,transcriptional regulator ([wiki|MarR family]),no,P37503
BSU22240,ypqA,unknown,unknown,unknown,no,P50836
BSU30340,ytvA,blue light sensor  positive regulation of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity under conditions of blue light,control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,blue light receptor  flavoprotein,no,O34627
BSU19050,yobQ,similar to transcription factor ([wiki|AraC family]),unknown,unknown,no,O34901
BSU19770,cgeC,maturation of the outermost layer of the spore,maturation of the outermost layer of the spore,unknown,no,P42091
new37800343780161c,S1421,new RNA feature  intergenic region,,intergenic region,,
BSU14990,ricF,subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex  required for handing over of [[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] to [[protein|872CCB5A49C9000BD95E4B0472556D5F60F7D7A4|RNase Y]] to facilitate maturation of polycistronic mRNAs  antagonist of biofilm repression by [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]]  control of the [wiki|phosphorelay],control of [[protein|872CCB5A49C9000BD95E4B0472556D5F60F7D7A4|RNase Y]] activity  see [wiki|Targets of the Y complex],subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex,no,O34412
BSU12820,spoIISB,disruption blocks sporulation after septum formation,sporulation,anti-toxin,no,O34800
BSU05920,tsaB,required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA,tRNA modification,tRNA modification enzyme,yes,O05516
new26285352628605c,S960,new RNA feature  intergenic region,,intergenic region,,
BSU21660,sprA,DNA recombinase  serine-type integrase  [wiki|SP-beta prophage] site-specific recombination factor A,excision of the [wiki|SP-beta prophage],[wiki|SP-beta prophage] site-specific recombination factor A,no,O32006
BSU12069,yjzH,unknown,unknown,unknown,-,C0H3Z2
BSU27729,yrzS,unknown,unknown,unknown,-,C0H463
BSU12080,ctaO,heme O synthase (minor enzyme),heme biosynthesis,heme O synthase (minor enzyme),no,O31652
BSU10090,yhgB,unknown,unknown,unknown,no,P38048
new23876742387835c,S862,new RNA feature  5'UTR of spoIVA,,5'UTR of spoIVA,,
BSU27450,glnM,glutamine [wiki|ABC transporter] (membrane protein),glutamine uptake,glutamine [wiki|ABC transporter] (membrane protein),no,O34671
BSU15590,sat,sulfate adenylyltransferase,sulfate activation,sulfate adenylyltransferase,no,O34764
BSU05320,ydeS,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown,no,P96676
new22815012281666,S813,new RNA feature  5'UTR of yokD,,5'UTR of yokD,,
BSU36860,atpE,ATP synthase  part of the Fo complex (subunit c),ATP synthesis,ATP synthase (subunit c),no,P37815
BSU10060,ecsC,unknown,unknown,unknown,no,P55341
BSU12360,exuT,galacturonate transport in via proton symport  glucuronate transport in via proton symport,hexuronate uptake,hexuronate transporter,no,O34456
BSU38900,yxjM,two-component sensor kinase,unknown,two-component sensor kinase ([wiki|NarL family]),no,P55183
new25869982587934c,S938,new RNA feature  intergenic region,,intergenic region,,
new574025574105c,S184,new RNA feature  intergenic region,,intergenic region,,
BSU20670,yoqD,similar to phage-related DNA-binding protein anti-repressor,unknown,unknown,no,O34449
